Date,Time,"Memoria virtual comprometida [MB]","Memoria virtual disponible [MB]","Carga de memoria virtual [%]","Memoria física utilizada [MB]","Memoria física disponible [MB]","Carga de memoria física [%]","Uso del archivo de página [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 4 VID [V]","Core 5 VID [V]","Core 6 VID [V]","Core 7 VID [V]","Relojes núcleo (avg) [MHz]","Core 0 Reloj (perf #2) [MHz]","Core 1 Reloj (perf #1) [MHz]","Core 2 Reloj (perf #3) [MHz]","Core 3 Reloj (perf #1) [MHz]","Core 4 Reloj (perf #4) [MHz]","Core 5 Reloj (perf #5) [MHz]","Core 6 Reloj (perf #6) [MHz]","Core 7 Reloj (perf #7) [MHz]","Reloj del bus [MHz]","Relojes efectivos núcleo (avg) [MHz]","Core 0 T0 Reloj efectivo [MHz]","Core 0 T1 Reloj efectivo [MHz]","Core 1 T0 Reloj efectivo [MHz]","Core 1 T1 Reloj efectivo [MHz]","Core 2 T0 Reloj efectivo [MHz]","Core 2 T1 Reloj efectivo [MHz]","Core 3 T0 Reloj efectivo [MHz]","Core 3 T1 Reloj efectivo [MHz]","Core 4 T0 Reloj efectivo [MHz]","Core 4 T1 Reloj efectivo [MHz]","Core 5 T0 Reloj efectivo [MHz]","Core 5 T1 Reloj efectivo [MHz]","Core 6 T0 Reloj efectivo [MHz]","Core 6 T1 Reloj efectivo [MHz]","Core 7 T0 Reloj efectivo [MHz]","Core 7 T1 Reloj efectivo [MHz]","Reloj efectivo promedio [MHz]","Uso núcleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Core 4 T0 Uso [%]","Core 4 T1 Uso [%]","Core 5 T0 Uso [%]","Core 5 T1 Uso [%]","Core 6 T0 Uso [%]","Core 6 T1 Uso [%]","Core 7 T0 Uso [%]","Core 7 T1 Uso [%]","Uso máximo de CPU / subproceso [%]","Uso total de CPU [%]","Utilización núcleo (avg) [%]","Core 0 T0 Utilización [%]","Core 0 T1 Utilización [%]","Core 1 T0 Utilización [%]","Core 1 T1 Utilización [%]","Core 2 T0 Utilización [%]","Core 2 T1 Utilización [%]","Core 3 T0 Utilización [%]","Core 3 T1 Utilización [%]","Core 4 T0 Utilización [%]","Core 4 T1 Utilización [%]","Core 5 T0 Utilización [%]","Core 5 T1 Utilización [%]","Core 6 T0 Utilización [%]","Core 6 T1 Utilización [%]","Core 7 T0 Utilización [%]","Core 7 T1 Utilización [%]","Utilización total de la CPU [%]","Multiplicadores de reloj de núcleo (avg) [x]","Core 0 Relación [x]","Core 1 Relación [x]","Core 2 Relación [x]","Core 3 Relación [x]","Core 4 Relación [x]","Core 5 Relación [x]","Core 6 Relación [x]","Core 7 Relación [x]","Package C6 Ocupación [%]","Core C0 Ocupación (avg) [%]","Core 0 C0 Ocupación [%]","Core 1 C0 Ocupación [%]","Core 2 C0 Ocupación [%]","Core 3 C0 Ocupación [%]","Core 4 C0 Ocupación [%]","Core 5 C0 Ocupación [%]","Core 6 C0 Ocupación [%]","Core 7 C0 Ocupación [%]","Core C1 Ocupación (avg) [%]","Core 0 C1 Ocupación [%]","Core 1 C1 Ocupación [%]","Core 2 C1 Ocupación [%]","Core 3 C1 Ocupación [%]","Core 4 C1 Ocupación [%]","Core 5 C1 Ocupación [%]","Core 6 C1 Ocupación [%]","Core 7 C1 Ocupación [%]","Core C6 Ocupación (avg) [%]","Core 0 C6 Ocupación [%]","Core 1 C6 Ocupación [%]","Core 2 C6 Ocupación [%]","Core 3 C6 Ocupación [%]","Core 4 C6 Ocupación [%]","Core 5 C6 Ocupación [%]","Core 6 C6 Ocupación [%]","Core 7 C6 Ocupación [%]","Reloj de la memoria [MHz]","Multiplicador de reloj de memoria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","Núcleo de CPU [°C]","CPU SOC [°C]","APU GFX [°C]","Temperaturas núcleo (avg) [°C]","Core0 [°C]","Core1 [°C]","Core2 [°C]","Core3 [°C]","Core4 [°C]","Core5 [°C]","Core6 [°C]","Core7 [°C]","L3 Cache [°C]","CPU VDDCR_VDD Voltaje (SVI3 TFN) [V]","CPU VDDCR_SOC Voltaje (SVI3 TFN) [V]","CPU VDDCR_SR Voltaje (SVI3 TFN) [V]","Corriente del núcleo de la CPU (SVI3 TFN) [A]","Corriente del SoC (SVI3 TFN) [A]","CPU TDC [A]","CPU EDC [A]","Corriente del SR (SVI3 TFN) [A]","Potencia total de CPU [W]","Potencia los núcleos (avg) [W]","Core 0 Potencia [W]","Core 1 Potencia [W]","Core 2 Potencia [W]","Core 3 Potencia [W]","Core 4 Potencia [W]","Core 5 Potencia [W]","Core 6 Potencia [W]","Core 7 Potencia [W]","CPU Potencia del núcleo (SVI3 TFN) [W]","Potencia de SoC CPU (SVI3 TFN) [W]","Core+SoC+SR Potencia (SVI3 TFN) [W]","APU STAPM [W]","Infinity Fabric Reloj (FCLK) [MHz]","Reloj del controlador de memoria (UCLK) [MHz]","L3 Cache [MHz]","Límite de frecuencia: Global [MHz]","Límite de CPU TDC [%]","Límite de CPU EDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Thermal Limit [%]","Energy Performance Preference [%]","Desaceleración térmica (HTC) [Yes/No]","Desaceleración térmica (PROCHOT CPU) [Yes/No]","Desaceleración térmica (PROCHOT EXT) [Yes/No]","Ancho de banda de lectura de DRAM [GB/s]","Ancho de banda de escritura DRAM [GB/s]","Recuento promedio de núcleos activos []","CPU [RPM]","GPU [RPM]","SPD Hub Temperatura [°C]","VDD (SWA) Voltaje [V]","VDDQ (SWB) Voltaje [V]","VPP (SWC) Voltaje [V]","1 8V VOUT Voltaje [V]","1 0V VOUT Voltaje [V]","VIN Voltaje [V]","PMIC alta temperatura [Yes/No]","PMIC Over Voltage [Yes/No]","PMIC Under Voltage [Yes/No]","Temperatura del disco [°C]","Temperatura del disco 2 [°C]","Vida restante del disco [%]","Drive Available Spare [%]","Fallo de disco [Yes/No]","Advertencia de disco [Yes/No]","Escrituras totales del host [GB]","Lecturas totales del host [GB]","Actividad de lectura [%]","Actividad de escritura [%]","Actividad total [%]","Tasa de lecturas [MB/s]","Tasa de escrituras [MB/s]","Leer total [MB]","Escribe total [MB]","Temperatura de la GPU [°C]","Voltaje del núcleo de la GPU (VDDCR_GFX) [V]","Reloj GPU [MHz]","Reloj de memoria GPU [MHz]","GPU SoC Reloj [MHz]","GPU VCN Reloj [MHz]","Utilización de GPU [%]","Utilización de D3D GPU [%]","Utilizaciones de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Video Decode 1 Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","GPU Computing (Compute 3) Uso [%]","GPU Computing (High Priority Compute) Uso [%]","Memoria dedicada D3D GPU [MB]","Memoria dinámica D3D GPU [MB]","Velocidad de enlace PCIe [GT/s]","Uso de memoria de GPU [MB]","Motivo de la desaceleración - Potencia [Yes/No]","Motivo de la desaceleración - Térmico [Yes/No]","Motivo de la desaceleración - Corriente [Yes/No]","Cuadros por segundo [FPS]","Temperatura de la GPU [°C]","Temperatura de unión de la memoria de la GPU [°C]","Temperatura de punto caliente de GPU [°C]","Límite térmico de GPU [°C]","Voltaje del núcleo de la GPU [V]","Voltajes de líneas de GPU (avg) [V]","GPU FBVDD Voltaje de entrada [V]","GPU 12VHPWR Voltaje [V]","GPU FBVDD Tensión de salida [V]","GPU Potencia [W]","Potencia de las líneas de GPU (avg) [W]","GPU Core (NVVDD) Aporte Potencia (sum) [W]","GPU FBVDD Aporte Potencia [W]","GPU 12VHPWR Potencia [W]","GPU PCIe +3 3V Aporte Potencia (est) [W]","Fuente PP de entrada GPU Potencia (sum) [W]","GPU Core (NVVDD) Producción Potencia [W]","GPU Core (NVVDD) Producción Potencia [W]","GPU FBVDD Producción Potencia [W]","Límite de potencia de la GPU (nominal) [W]","Límite de potencia de la GPU (máx.) [W]","Reloj GPU [MHz]","Reloj de memoria GPU [MHz]","Reloj de vídeo de la GPU [MHz]","Reloj efectivo de GPU [MHz]","GPU Crossbar Reloj [MHz]","Frecuencia de reloj de la GPU (medida) [MHz]","Frecuencia de la memoria de la GPU (medida) [MHz]","Frecuencia de reloj de la matriz de interconexión de la GPU (medida) [MHz]","Carga de núcleo de GPU [%]","Carga del controlador de memoria de la GPU [%]","Carga del motor de video de la GPU [%]","Carga de bus GPU [%]","Uso de memoria de GPU [%]","GPU D3D Uso (avg) [%]","Utilización de D3D GPU [%]","GPU Video Decode 0 Uso [%]","GPU Video Encode 0 Uso [%]","GPU VR Uso [%]","GPU Limitadores de rendimiento (avg) [Yes/No]","Límite de rendimiento - Potencia [Yes/No]","Límite de rendimiento: Térmico [Yes/No]","Límite de rendimiento: Voltaje de confiabilidad [Yes/No]","Límite de rendimiento: Voltaje operativo máximo [Yes/No]","Límite de rendimiento: Utilización [Yes/No]","Límite de rendimiento: SLI GPUBoost Sync [Yes/No]","PCI Express Error Counters (avg) []","Receiver Errors []","Replay Count []","Replay Rollover Count []","Bad DLLP Count []","Bad TLP Count []","LCRC Error Count []","NAKs Sent Count []","NAKs Received Count []","Recovery Count []","Correctable Error Count []","Non-Fatal Error Count []","Fatal Error Count []","Unsupported Request Count []","PCIe Lane 0 Errors []","PCIe Lane 1 Errors []","PCIe Lane 2 Errors []","PCIe Lane 3 Errors []","PCIe Lane 4 Errors []","PCIe Lane 5 Errors []","PCIe Lane 6 Errors []","PCIe Lane 7 Errors []","PCIe Lane 8 Errors []","PCIe Lane 9 Errors []","PCIe Lane 10 Errors []","PCIe Lane 11 Errors []","PCIe Lane 12 Errors []","PCIe Lane 13 Errors []","PCIe Lane 14 Errors []","PCIe Lane 15 Errors []","Memoria de GPU disponible [MB]","Memoria de GPU asignada [MB]","Memoria dedicada D3D GPU [MB]","Memoria dinámica D3D GPU [MB]","Velocidad de enlace PCIe [GT/s]","Voltaje de la batería [V]","Capacidad restante [Wh]","Nivel de carga [%]","Tasa de carga [W]","Nivel de desgaste [%]","Cuadros por segundo Presented (avg) [FPS]","Cuadros por segundo Presented (99%) [FPS]","Cuadros por segundo Presented (1%) [FPS]","Cuadros por segundo Presented (0.1%) [FPS]","Cuadros por segundo Presented (1% low) [FPS]","Cuadros por segundo Presented (0.1% low) [FPS]","Cuadros por segundo Displayed (avg) [FPS]","Cuadros por segundo Displayed (99%) [FPS]","Cuadros por segundo Displayed (1%) [FPS]","Cuadros por segundo Displayed (0.1%) [FPS]","Cuadros por segundo Displayed (1% low) [FPS]","Cuadros por segundo Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total descargado [MB]","Total subido [MB]","Tasa de descarga actual [KB/s]","Tasa de subido actual [KB/s]","Total descargado [MB]","Total subido [MB]","Tasa de descarga actual [KB/s]","Tasa de subido actual [KB/s]","Errores totales []",
9.8.2026,22:15:59.068,11073,16392,40.3,6118,9572,38.9,0.9,11776,102,0.921,1.390,0.845,0.845,0.845,0.845,0.865,0.865,0.865,3156.8,3144.3,3169.3,3169.3,3169.3,3169.3,3144.3,3144.3,3144.3,99.8,254.2,2311.8,91.0,238.2,178.3,48.7,45.7,385.3,299.8,28.2,23.5,23.8,25.3,21.2,23.3,220.8,102.8,254.2,3.4,7.7,1.5,6.1,3.4,1.6,1.4,10.7,6.1,1.0,0.8,0.9,0.9,0.8,0.9,6.9,3.1,10.7,3.4,3.7,9.1,2.4,7.1,5.0,1.3,1.2,11.6,8.8,0.7,0.5,0.6,0.6,0.5,0.6,6.6,3.0,3.7,31.6,31.5,31.8,31.8,31.8,31.8,31.5,31.5,31.5,38.5,6.5,13.0,9.4,1.9,17.0,0.7,0.7,0.7,8.5,9.0,29.8,13.2,5.7,13.4,1.3,1.5,1.3,5.8,84.7,57.6,77.7,92.6,69.9,98.2,98.0,98.2,85.9,2079.0,20.83,40,39,39,77,116,708,1,61.4,58.5,58.5,56.9,56.2,55.6,57.8,55.0,58.0,54.6,56.9,54.6,57.3,55.9,0.791,0.958,1.020,3.530,2.284,3.541,65.407,0.619,8.601,0.493,1.186,0.748,0.222,1.062,0.107,0.117,0.102,0.400,3.715,2.263,6.611,24.947,1502.7,1039.5,3576.8,4795.3,5.4,46.7,14.3,17.8,38.4,73.1,0,No,No,No,0.819,0.139,0.5,3800,2600,59.0,1.110,1.110,1.800,1.815,1.005,5.110,No,No,No,53,53,100.0,100.0,No,No,739,944,0.0,0.2,0.2,0.018,0.089,15126,1841,58.0,0.700,1936.0,2145.5,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,16.0,24,Sí,No,No,0.0,51.5,72.0,60.0,75.0,0.640,20.549,20.566,20.516,20.566,4.581,2.439,0.000,3.435,3.406,1.201,4.614,1.691,1.734,3.434,40.000,90.000,210.0,101.2,765.0,140.8,825.0,182.0,86.3,718.8,1.0,11.0,0.0,0.0,14.1,0.1,0.2,0.0,0.0,0.0,Sí,No,No,No,No,Sí,No,5,0,0,0,0,7,0,7,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,865,651,56,2.5,16.748,47.283,80.4,0.000,0.0,8.6,142.9,4.5,4.5,4.5,4.5,8.6,146.0,4.5,4.5,4.5,4.5,116.30,221.45,7.00,6.99,221.91,221.91,1.47,114.63,116.30,0.00,130.27,0,0,0.0,0.0,61,13,0.1,0.0,0,
9.8.2026,22:16:1.066,11078,16387,40.3,6113,9577,38.9,0.9,11776,102,1.391,1.385,1.385,1.395,1.395,1.390,1.390,1.390,1.395,3694.4,4666.6,4641.6,3094.4,4641.6,3127.7,3127.7,3127.7,3127.7,99.8,318.4,1963.0,186.5,518.6,315.3,109.7,145.3,543.1,519.4,67.2,102.0,45.3,49.7,57.7,41.0,216.2,213.9,318.4,5.0,10.5,3.7,11.5,6.5,2.4,2.9,13.6,11.1,1.3,2.0,0.9,0.9,1.2,0.7,5.5,6.2,13.6,5.0,6.6,12.7,5.3,15.7,9.1,3.2,4.1,16.6,15.4,1.9,2.9,1.2,1.3,1.6,1.1,6.5,6.5,6.6,37.0,46.8,46.5,31.0,46.5,31.3,31.3,31.3,31.3,28.4,10.1,16.0,18.3,5.1,23.7,2.9,1.6,1.9,11.4,13.2,31.2,22.6,9.7,20.8,5.4,5.2,3.6,7.3,76.8,53.1,59.2,85.3,55.8,91.8,93.3,94.6,81.6,2154.5,21.58,40,39,39,77,116,708,1,63.1,61.2,58.5,57.3,57.3,56.6,59.9,56.0,59.9,55.4,57.7,55.0,58.1,56.7,0.896,0.980,1.027,5.768,2.411,5.538,72.924,0.625,12.095,0.767,1.261,1.530,0.516,1.533,0.334,0.210,0.193,0.562,6.957,2.427,10.028,24.849,1572.8,1077.2,3744.3,4776.2,8.5,52.1,20.1,16.9,38.2,76.5,0,No,No,No,1.087,0.141,0.8,3800,2600,59.0,1.110,1.110,1.800,1.815,1.005,5.110,No,No,No,53,53,100.0,100.0,No,No,739,944,0.4,0.1,0.5,0.268,0.202,15126,1841,56.9,0.700,1936.0,2082.8,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,16.0,24,No,No,No,0.0,51.3,70.0,59.8,75.0,0.640,20.557,20.575,20.523,20.574,4.966,2.532,0.035,3.498,3.551,1.201,4.712,2.046,1.713,3.498,40.000,90.000,240.0,101.2,765.0,153.7,825.0,165.1,68.7,574.4,1.0,11.0,0.0,0.0,14.1,0.9,3.5,0.0,0.0,0.0,Sí,No,No,No,No,Sí,No,5,0,0,0,0,7,0,7,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,865,651,57,2.5,16.748,47.283,80.4,0.000,0.0,28.8,165.7,4.8,4.7,4.7,4.7,28.8,149.0,4.8,4.7,4.6,4.6,34.71,209.15,6.03,5.95,214.10,214.10,1.96,32.76,34.71,0.00,36.33,0,0,0.0,0.0,61,13,2.9,1.6,0,
9.8.2026,22:16:3.067,11092,16374,40.3,6128,9561,39.0,0.9,11776,102,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.400,1.400,3330.5,3127.7,4716.5,3144.3,3144.3,3144.3,3144.3,3111.1,3111.1,99.8,301.7,1569.8,210.7,739.8,330.9,98.9,118.2,459.7,650.3,90.2,83.9,47.2,64.9,21.6,24.3,211.4,105.8,301.7,5.2,10.6,4.5,16.6,6.9,1.6,2.6,10.5,15.4,0.5,1.2,1.3,0.9,0.0,0.5,7.1,3.0,16.6,5.2,6.8,12.0,5.9,22.5,9.9,2.8,3.2,13.7,19.6,2.5,2.3,1.3,1.8,0.5,0.6,6.4,3.1,6.8,33.4,31.3,47.2,31.5,31.5,31.5,31.5,31.2,31.2,20.8,10.7,15.9,24.0,4.9,26.6,3.5,2.0,0.6,8.4,18.3,34.4,28.2,16.3,37.2,18.9,4.0,2.3,4.9,71.2,49.9,48.0,79.1,36.3,77.8,94.2,97.2,87.0,2187.7,21.92,40,39,39,77,116,708,1,63.8,62.3,58.9,57.7,57.8,57.0,61.3,56.3,60.9,55.8,58.0,55.0,58.0,57.2,0.984,0.989,1.030,6.233,2.479,6.266,78.839,0.630,13.012,0.843,1.372,1.860,0.552,1.783,0.429,0.213,0.103,0.432,7.754,2.512,10.916,24.776,1603.6,1093.9,3861.0,4770.6,9.6,56.3,21.7,18.1,38.1,77.9,0,No,No,No,1.155,0.176,0.9,3600,2600,58.8,1.110,1.110,1.815,1.815,1.005,5.110,No,No,No,53,53,100.0,100.0,No,No,739,944,0.1,0.4,0.5,0.073,0.380,15127,1842,57.3,0.700,1936.0,2158.4,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,16.0,24,No,No,No,0.0,51.2,70.0,59.8,75.0,0.640,20.497,20.513,20.464,20.514,4.883,2.593,0.028,3.713,3.745,1.201,4.929,1.683,1.732,3.713,40.000,90.000,210.0,101.2,765.0,164.4,825.0,210.0,101.0,825.1,3.0,14.0,0.0,0.0,14.1,1.0,4.0,0.0,0.0,0.0,Sí,No,No,No,No,Sí,No,5,0,0,0,0,7,0,7,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275,866,652,57,2.5,16.749,47.283,80.4,0.000,0.0,21.2,149.8,5.7,5.6,5.6,5.6,21.2,145.8,5.7,5.6,5.6,5.6,47.21,176.39,6.68,6.67,179.70,179.70,1.57,45.64,47.21,0.00,60.23,0,0,0.0,0.0,61,13,5.0,10.1,0,
9.8.2026,22:16:5.071,11082,16384,40.3,6125,9565,39.0,0.9,11776,102,1.346,1.400,1.415,1.415,1.415,1.415,1.415,1.415,0.875,3161.0,3144.3,3169.3,3169.3,3169.3,3169.3,3169.3,3169.3,3127.7,99.8,263.0,2218.6,103.2,408.2,255.1,42.5,67.6,125.5,521.3,33.1,43.9,33.3,24.2,21.2,20.5,238.7,50.3,263.0,3.8,8.2,2.2,9.2,6.3,1.7,0.5,2.7,13.0,2.2,1.5,0.7,1.2,2.6,0.3,7.2,1.1,13.0,3.8,4.2,9.2,2.9,12.4,7.4,1.2,1.8,3.7,15.5,0.9,1.1,0.9,0.6,0.5,0.5,7.2,1.4,4.2,31.7,31.5,31.8,31.8,31.8,31.8,31.8,31.8,31.3,35.1,7.2,12.6,15.3,2.2,16.7,1.3,0.9,0.6,8.0,9.9,23.6,21.3,5.4,16.3,6.8,1.7,0.7,3.7,83.0,64.3,63.5,92.6,67.2,92.0,97.4,98.9,88.5,2140.7,21.45,40,39,39,77,116,708,1,62.0,59.0,58.1,56.8,56.0,55.1,58.4,54.6,58.0,54.3,56.7,54.0,57.0,55.6,0.841,0.976,1.026,4.026,2.341,4.056,69.821,0.623,9.494,0.545,1.203,1.163,0.214,1.093,0.164,0.111,0.071,0.345,4.493,2.348,7.482,24.680,1560.0,1070.3,3691.0,4790.3,6.2,49.9,15.8,17.2,38.0,73.7,0,No,No,No,0.812,0.137,0.6,3500,2600,58.5,1.110,1.110,1.815,1.815,1.005,5.110,No,No,No,53,53,100.0,100.0,No,No,739,944,0.0,0.1,0.1,0.022,0.090,15127,1842,57.7,0.700,1936.0,2191.7,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,16.0,24,No,No,No,0.0,50.9,70.0,59.4,75.0,0.640,20.506,20.523,20.473,20.522,4.807,2.626,0.052,3.756,3.808,1.201,4.954,1.760,1.723,3.756,40.000,90.000,210.0,101.2,765.0,145.7,825.0,142.9,68.1,569.6,3.0,20.0,0.0,0.0,14.1,0.1,0.5,0.0,0.0,0.0,Sí,No,No,No,No,Sí,No,5,0,0,0,0,7,0,7,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275,866,652,57,2.5,16.750,47.283,80.4,0.000,0.0,9.7,156.7,3.2,3.2,3.2,3.2,9.7,159.6,3.2,3.2,3.2,3.2,103.42,310.93,6.38,6.37,311.25,311.25,1.88,101.52,103.42,0.00,131.53,0,0,0.0,0.0,61,13,0.3,1.6,0,
